what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1375182055704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182055711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182059284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375182060089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182060099
error,log,,,"Unable to create menu item ""com.aptana.terminal.commands.openTerminal"", command ""com.aptana.terminal.commands.openTerminal"" not defined",1375182065917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182068353
executed,command,org.eclipse.team.svn.ui,1.0.0.I20121013-1700,"org.eclipse.team.svn.ui.command.DisconnectCommand",1375182069954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182069964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182073724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1375182079492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182079504
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1375182082454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182083668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375182084865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182084878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182090427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1375182096578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182096596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182099616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1375182100721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182100751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.collapseAll",1375182104638
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1375182108355
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1375182108382
started,bundle,org.eclipse.tm.tcf,0.4.0.201202112004,"org.eclipse.tm.tcf",1375182108478
started,bundle,org.eclipse.tm.tcf.core,0.4.1.201202112004,"org.eclipse.tm.tcf.core",1375182108478
started,bundle,org.eclipse.tm.tcf.debug.ui,0.4.1.201202112004,"org.eclipse.tm.tcf.debug.ui",1375182108570
started,bundle,org.eclipse.tm.tcf.cdt.ui,0.4.0.201202112004,"org.eclipse.tm.tcf.cdt.ui",1375182108680
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1375182108764
started,bundle,org.eclipse.tm.tcf.debug,0.4.0.201202112004,"org.eclipse.tm.tcf.debug",1375182108785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182110553
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1375182120644
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1375182120730
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1375182120854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375182120867
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1375182122717
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1375182124701
opened,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1375182126599
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1375182126645
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1375182126720
